benchmark,model,subject,total,correct,valid,ambiguous,accuracy_all_pct,accuracy_valid_pct,historical_yes,historical_yes_pct
MASCQA,Qwen3-8B,Magnetism,15,11,15,0,73.33333333333333,73.33333333333333,11,73.33333333333333
MASCQA,Qwen3-8B,Material Applications,53,44,53,0,83.01886792452831,83.01886792452831,44,83.01886792452831
MASCQA,Qwen3-8B,Material characterization,14,14,14,0,100.0,100.0,14,100.0
MASCQA,Qwen3-8B,Material manufacturing,91,58,88,3,63.73626373626374,65.9090909090909,61,67.03296703296704
MASCQA,Qwen3-8B,Material processing,35,29,35,0,82.85714285714286,82.85714285714286,29,82.85714285714286
MASCQA,Qwen3-8B,Material testing,9,9,9,0,100.0,100.0,9,100.0
MASCQA,Qwen3-8B,Mechanical,96,63,96,0,65.625,65.625,63,65.625
MASCQA,Qwen3-8B,Miscellaneous,8,6,8,0,75.0,75.0,6,75.0
MASCQA,Qwen3-8B,Phase transition,41,25,41,0,60.97560975609756,60.97560975609756,25,60.97560975609756
MASCQA,Qwen3-8B,Thermodynamics,114,74,114,0,64.91228070175438,64.91228070175438,74,64.91228070175438
MASCQA,Qwen3-8B,Transport phenomena,24,18,24,0,75.0,75.0,18,75.0
